source,target,timestamp,value,valueDoll
129461837,75108927,1391466619,19.19287874,16254.449
16411264,140033916,1391466619,127.8886763,108308.92
63803430,54566043,1391466619,16.04927398,13592.13013
1912248,146259113,1391466619,381.6740397,323239.7442
150116206,45261432,1391466619,140.4798069,118972.3485
93983325,147489885,1391466619,171.0583032,144869.277
120422985,1432008,1391466619,18.64512739,15790.55839
8505876,24455328,1391466619,17.34986542,14693.60102
139574614,11834069,1391466619,20.35903282,17242.0649
81524387,113226598,1391466619,17.33050965,14677.20862
9394355,41582543,1391466619,27.4942997,23284.92242
103129463,Bitstamp.net-old,1391466619,49.9,42260.31
103129463,115981996,1391466619,19.18546072,16248.16668
39257445,52678863,1391466619,58.52875858,49568.00564
141307146,23203852,1391466619,33.55893672,28421.06351
154017545,43807733,1391466619,20.85443066,17661.61733
19189951,30080814,1391466619,169.5329799,143577.4807
74237500,12835071,1391466619,17.50088335,14821.49811
14447203,13890244,1391466619,16.42375002,13909.27389
109402310,30080814,1391466619,22.8128678,19320.21774
10379446,85733244,1391466619,17.82742012,15098.0421
238735,63846107,1391466619,145.4998076,123223.7871
238735,81252086,1391466619,24.82346576,21022.99315
156027446,168336318,1391466619,120.4898013,102042.8127
Dagensia.eu,62952947,1391466619,19.29558518,16341.43109
56573076,Bitstamp.net-old,1391466619,50,42345
BTC-e.com-old,238735,1391466619,45.40010195,38449.34634
1398875,9642501,1391466619,20.71650852,17544.81107
66759083,97439,1391466619,72.56293848,61453.5526
23203852,95982096,1391466619,33.51516813,28383.99589
86921615,137161422,1391466991,100.4896013,85104.64332
159499912,65580236,1391466991,22.75008261,19267.04496
133038079,34754334,1391466991,15.23750667,12904.6444
22887259,28341293,1391466991,23.8335,20184.59115
64320267,69214192,1391466991,22.653,19184.8257
25496397,108027988,1391466991,80.48940128,68166.47394
101754936,141469107,1391466991,23.92096211,20258.66281
84806109,29515239,1391466991,29.50429376,24987.18639
171351823,GHash.io,1391466991,25.09693364,21254.5931
4815844,4815844,1391466991,171.2782903,145055.584
39343325,1982064,1391466991,24.55886929,20798.9064
BTC-e.com-old,238735,1391466991,29.95988664,25373.028
88289649,145882092,1391466991,23.35471591,19779.1089
103757710,148695898,1391466991,99.30264,84099.40582
50442044,67204046,1391466991,33.08772961,28021.99821
BTCGuild.com,106756031,1391466991,23.16354584,19617.20697
37495221,42029366,1391466991,17.40654,14741.59873
137161422,25496397,1391466991,90.48950128,76635.55863
161601259,160590214,1391466991,24.15326017,20455.39604
50211771,86265690,1391466991,27.96223571,23681.21742
31748662,152154874,1391466991,15.4997002,13126.6961
52678863,6103339,1391466991,46.86644858,39691.1953
30080814,306556,1391466991,199.999,169379.1531
100336460,57832572,1391466991,60.65351579,51367.46252
161271823,3092523,1391466991,20,16938
101637998,45448187,1391466991,15.999,13549.5531
283484,22118182,1391466991,90.42563979,76581.47434
25706053,153055795,1391468409,132.5878675,111640.3103
97139262,112386576,1391468409,142.3197053,119834.6151
238735,160161373,1391468409,43.68105073,36779.88153
164156895,62391725,1391468409,135.9204215,114446.3541
14473340,48627924,1391468409,184.8022212,155605.3183
106778412,113643111,1391468409,93.867147,79037.07645
106778412,50733429,1391468409,50,42100.5
1621521,82837383,1391468409,106.4786413,89656.08074
140033916,84630741,1391468409,124.2791927,104644.3231
171351823,ePay.info,1391468409,25.06384733,21104.01009
13333246,82332060,1391468409,86.87538736,73149.94491
13333246,65711995,1391468409,24.884,20952.57684
112999348,143095892,1391468409,58.95173703,49637.9521
112999348,Bitstamp.net-old,1391468409,31.43590118,26469.34315
112999348,21963554,1391468409,41,34522.41
60187992,156777387,1391468409,136.885855,115259.2588
15004082,5423100,1391468409,88.33293667,74377.21601
15004082,341059,1391468409,18.61757701,15676.18602
15004082,Bitstamp.net-old,1391468409,25,21050.25
40417172,26518397,1391468409,126.3419828,106381.213
Bitstamp.net-old,74216155,1391468409,37.53712373,31606.63355
131789048,14350448,1391468409,43.38788542,36533.0334
45261432,140283719,1391468409,134.4190281,113182.1658
63846107,341059,1391468409,22.42553407,18882.52394
63846107,26518397,1391468409,99.79473963,84028.16872
238735,147745808,1391468409,47.93266612,40359.7842
97439,36478052,1391468409,59.71177504,50277.9117
79143841,79143841,1391468409,64.9999,54730.5658
238735,138068909,1391468409,66.66484981,56132.47019
147489885,52527089,1391468409,19.66964486,16562.03767
147489885,26518397,1391468409,139.8095565,117721.0446
22756543,24466084,1391468409,20.5218942,17279.64014
62952947,Dagensia.eu,1391468478,19.29558518,16247.07568
7679882,7679882,1391468478,41.952,35324.00352
6103339,165338031,1391468478,46.70934858,39329.7386
171351823,ePay.info,1391468478,25.0245,21070.87925
87790405,107269406,1391468478,60.48920128,50932.51237
ePay.info,ePay.info,1391468478,29.9269,25198.74907
95982096,109640845,1391468478,33.47406813,28185.50011
ePay.info,ePay.info,1391468478,39.47610082,33239.27165
ePay.info,ePay.info,1391468478,23.4997237,19787.00235
49100408,26193907,1391468478,20.2999,17092.7188
108027988,87790405,1391468478,70.48930128,59352.69657
ePay.info,ePay.info,1391468478,24.97,21024.9897
136051117,60354452,1391468478,15.7114663,13229.21174
92945834,143934,1391468478,20,16840.2
141469107,39993415,1391468478,23.43048347,19728.70139
ePay.info,ePay.info,1391469414,20.20496512,17012.78268
goldgameland,117318743,1391469414,50,42100.5
48256647,25336737,1391469414,17.97982477,15139.19225
112140679,39420164,1391469414,16.27572874,13704.32636
14350448,150861838,1391469414,24.36564913,20516.12022
86265690,38812468,1391469414,27.29944571,22986.40628
129915141,159545913,1391469414,186.811812,157297.4138
100202107,48237082,1391469414,131.0203713,110320.4628
100202107,24316763,1391469414,80.9788996,68185.04325
123142298,89097307,1391469414,240.2593512,202300.7763
30697359,41490780,1391469414,19.91754885,16770.77531
39993415,15520013,1391469414,23.03038347,19391.81319
164879604,38724828,1391469414,30.48890128,25671.95977
mtgox,128223969,1391469414,20,16840.2
38724828,90986137,1391469414,20.48880128,17251.77557
143095892,2887918,1391469414,18.386,15481.19586
143095892,118147364,1391469414,20.9099917,17606.42211
82164361,140045174,1391469414,71.585295,60275.53424
Kraken.com,55814934,1391469414,42.63502637,35899.11855
74282278,51538944,1391469414,21.70719,18277.67105
36478052,48953134,1391469414,49.4988516,41678.52804
24466084,118113403,1391469414,19.0912442,16075.01853
140283719,402655,1391469414,132.6611886,111702.0474
17425318,38546759,1391469414,22,18524.22
12754216,12754216,1391469414,16.44264628,13844.87259
7564508,36559524,1391469414,19.78536445,16659.47472
75108927,74647807,1391469414,19.18116874,16150.73589
54944514,19680105,1391469414,39.6595,33393.6956
155662897,155662897,1391469414,30.0099,25268.6359
38349590,139393683,1391469414,167.9535349,141418.5559
18773178,125587643,1391469414,248.3635955,209124.631
BitMinter.com,20563938,1391469414,25.08264392,21119.83701
98120430,47565628,1391469414,17.086532,14387.03081
38543812,110794157,1391469414,18.15005859,15282.53083
17218204,91255895,1391469414,98.789,83181.32589
BitMinter.com,17271337,1391469414,24.99659541,21047.3833
13340964,164879604,1391469414,40.48900128,34092.14397
42029366,36438887,1391469414,17.28644,14555.35534
5423100,45288885,1391469414,74.09320884,62387.22278
84630741,109696811,1391469414,122.612087,103240.6034
238735,4012506,1391469414,68.24447496,57462.53036
238735,171132295,1391469414,129.953314,109421.9899
7854940,306556,1391469414,200,168402
109640845,37570813,1391469414,33.44491195,28160.95031
107269406,13340964,1391469414,50.48910128,42512.32817
51075118,59613930,1391469414,24.67589609,20777.35127
59511760,168646309,1391469414,23.5,19787.235
138068909,56367266,1391469414,33.27337074,28016.5109
138068909,127312670,1391469414,17.44404405,14688.05953
bigasic,bigasic,1391469414,78.4798652,66080.8313
26518397,306556,1391469414,275.001,231553.592
26518397,Bitcoin.de,1391469414,71.5947,60283.45335
11834069,50981814,1391469414,20.30536282,17097.31855
159328217,6508791,1391469414,79.23405127,66715.86351
113643111,48237082,1391469414,40.09703685,33762.106
113643111,14662406,1391469414,41.31892,34790.94383
105310495,21493895,1391469414,17.80043584,14988.14498
119528018,103350000,1391469414,17.72382573,14923.6385
29634069,65114004,1391469414,20.05766713,16888.7563
97301,7854940,1391469414,350,294703.5
262647,65904444,1391469414,20,16840.2
147745808,89667393,1391469414,42.90544318,36126.81221
144445038,23087849,1391469414,196.808564,165714.779
79143841,79143841,1391469414,54.9998,46310.3816
49658272,24505487,1391469414,15.11478907,12726.80354
171351823,EclipseMC.com-old,1391469414,25.13317823,21162.3874
ePay.info,ePay.info,1391469414,21.4997237,18102.98235
47882272,1945888,1391469414,44.999,37889.60799
47882272,10680530,1391469414,194.0468001,163389.3462
59068447,59068447,1391469414,16.46380002,13862.68425
119210940,62276771,1391469414,18.13705859,15271.5847
17177577,39972468,1391469414,22.23893334,18725.40426
82837383,5617089,1391469414,98.49332106,82932.36127
67602276,46801686,1391469414,15.18705822,12787.65489
161238542,17928850,1391469414,19.38636488,16323.51309
86606678,8397892,1391469414,27.84644894,23446.98847
76364005,35059019,1391469414,142.0872791,119638.9099
118059049,17859103,1391469414,155,130511.55
43447091,162557798,1391469414,15.50894239,13058.68458
4401498,22430403,1391469414,18.00205859,15157.91335
BitMinter.com,69342724,1391469414,24.94336089,21002.5593
60030545,67316612,1391469414,20.06412859,16894.19691
160161373,114610826,1391469414,30.58592799,25753.65723
86233048,41545885,1391469414,16.17523411,13619.70887
162901786,97810076,1391469414,62.06841269,52262.22417
18947537,72345557,1391469414,199.3358726,167842.7981
82332060,137766728,1391469414,82.53964782,69499.20886
ePay.info,ePay.info,1391469414,24.9877,21039.89328
38546759,BTC-e.com-old,1391469414,22,18524.22
171132295,28559766,1391470320,125.8834752,105995.145
48237082,30607167,1391470320,56.67782089,47723.29197
48237082,Bitcoin.de,1391470320,99.999,84200.15799
